"sequence","timestamp","working_directory","command","exit_code","classification","duration","stdout_summary","stderr_summary","evidence_path"
"1","2026-06-16T10:33:52","D:\work\bostar-gate0c","node --version","0","PASS","0.097","v26.2.0","","D:\work\bostar-gate0c\audit\reports\01-node-version.txt"
"2","2026-06-16T10:33:53","D:\work\bostar-gate0c","npm --version","0","PASS","0.428","11.13.0","","D:\work\bostar-gate0c\audit\reports\02-npm-version.txt"
"3","2026-06-16T10:33:53","D:\work\bostar-gate0c"," = @('D:\\work\\bostar-gate0c','D:\\桌面\\液体自动静电喷枪说明书项目文件夹 -1\\bostar-geo-website'); Get-CimInstance Win32_Process | Where-Object { .Name -match 'node|npm|prisma|chrome' -and .CommandLine -and ((.CommandLine -like '*D:\\work\\bostar-gate0c*') -or (.CommandLine -like '*D:\\桌面\\液体自动静电喷枪说明书项目文件夹 -1\\bostar-geo-website*')) } | Select-Object ProcessId,Name,CommandLine | Format-List","1","ENVIRONMENT_FAILURE","0.897","Invoke-Expression : The term '=' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again. At line:59 cha","Invoke-Expression : The term '=' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again. At line:59 cha","D:\work\bostar-gate0c\audit\reports\03-project-process-scan.txt"
"4","2026-06-16T10:33:54","D:\work\bostar-gate0c","npm config get cache","0","PASS","0.632","C:\Users\40352\AppData\Local\npm-cache","","D:\work\bostar-gate0c\audit\reports\04-npm-cache.txt"
"5","2026-06-16T10:33:55","D:\work\bostar-gate0c","$probe = Join-Path $(Get-Location) '.gate0c-write-test.tmp'; 'PATH=' + $(Get-Location).Path; cmd /c icacls .; 'WRITE_TEST_START'; Set-Content -Path $probe -Value 'ok' -Encoding ASCII; Remove-Item $probe -Force; 'WRITE_TEST_OK'","0","PASS","0.256","PATH=D:\work\bostar-gate0c . NT AUTHORITY\SYSTEM:(I)(OI)(CI)(F) BUILTIN\Administrators:(I)(OI)(CI)(F) BUILTIN\Users:(I)(OI)(CI)(F) Successfully processed 1 files; Failed processing 0 files WRITE_TEST_START WRITE_TEST_OK","","D:\work\bostar-gate0c\audit\reports\05-directory-permissions.txt"
"6","2026-06-16T10:33:55","D:\work\bostar-gate0c","npm ci","1","ENVIRONMENT_FAILURE","128.674","node.exe : warn The configuration property `package.json#prisma` is deprecated and will be removed in Prisma 7. Please migrate to a Prisma config file (e.g., `prisma.config.ts`). At line:1 char:1 + & ""D:\AI/node.exe"" ""D:\AI/node_modules/npm","node.exe : warn The configuration property `package.json#prisma` is deprecated and will be removed in Prisma 7. Please migrate to a Prisma config file (e.g., `prisma.config.ts`). At line:1 char:1 + & ""D:\AI/node.exe"" ""D:\AI/node_modules/npm","D:\work\bostar-gate0c\audit\reports\06-npm-ci-attempt1.txt"
"7","2026-06-16T10:36:04","D:\work\bostar-gate0c","Stop-Process for project-owned node/npm/prisma/next processes after npm ci failure","0","PASS","0","Killed: 45196","","D:\work\bostar-gate0c\audit\reports\07a-processes-killed-after-npm-ci-failure.txt"
"8","2026-06-16T10:36:26","D:\work\bostar-gate0c","Remove-Item node_modules,.next in clean clone after npm ci failure","0","PASS","0","Clone-local install artifacts removed","","D:\work\bostar-gate0c\audit\reports\07b-cleanup-after-npm-ci-failure.txt"
"9","2026-06-16T10:36:26","D:\work\bostar-gate0c","npm ci","1","ENVIRONMENT_FAILURE","138.799","node.exe : warn The configuration property `package.json#prisma` is deprecated and will be removed in Prisma 7. Please migrate to a Prisma config file (e.g., `prisma.config.ts`). At line:1 char:1 + & ""D:\AI/node.exe"" ""D:\AI/node_modules/npm","node.exe : warn The configuration property `package.json#prisma` is deprecated and will be removed in Prisma 7. Please migrate to a Prisma config file (e.g., `prisma.config.ts`). At line:1 char:1 + & ""D:\AI/node.exe"" ""D:\AI/node_modules/npm","D:\work\bostar-gate0c\audit\reports\08-npm-ci-attempt2.txt"
"10","2026-06-16T10:38:45","D:\work\bostar-gate0c","npm ci --ignore-scripts","0","PASS","133.479","added 400 packages in 2m 151 packages are looking for funding run `npm fund` for details","","D:\work\bostar-gate0c\audit\reports\09-npm-ci-ignore-scripts.txt"
"11","2026-06-16T10:40:58","D:\work\bostar-gate0c","npx next --version","0","NOT_RUN","0","npm ci baseline not established","","D:\work\bostar-gate0c\audit\reports\10-next-cli-version.txt"
"12","2026-06-16T10:40:58","D:\work\bostar-gate0c","npx tsc --version","0","NOT_RUN","0","npm ci baseline not established","","D:\work\bostar-gate0c\audit\reports\11-tsc-version.txt"
"13","2026-06-16T10:40:58","D:\work\bostar-gate0c","npx prisma --version","0","NOT_RUN","0","npm ci baseline not established","","D:\work\bostar-gate0c\audit\reports\12-prisma-version.txt"
"14","2026-06-16T10:40:58","D:\work\bostar-gate0c","npm run lint","0","NOT_RUN","0","npm ci baseline not established","","D:\work\bostar-gate0c\audit\reports\13-npm-run-lint.txt"
"15","2026-06-16T10:40:58","D:\work\bostar-gate0c","npx tsc --noEmit","0","NOT_RUN","0","npm ci baseline not established","","D:\work\bostar-gate0c\audit\reports\14-tsc-noemit.txt"
"16","2026-06-16T10:40:58","D:\work\bostar-gate0c","node scripts/smoke-admin-local.mjs 3013","0","NOT_RUN","0","npm ci baseline not established","","D:\work\bostar-gate0c\audit\reports\15-smoke-admin-local.txt"
"17","2026-06-16T10:40:58","D:\work\bostar-gate0c","node scripts/smoke-cover-render.mjs","0","NOT_RUN","0","npm ci baseline not established","","D:\work\bostar-gate0c\audit\reports\16-smoke-cover-render.txt"
"18","2026-06-16T10:40:58","D:\work\bostar-gate0c","node scripts/smoke-media-picker-ui.mjs","0","NOT_RUN","0","npm ci baseline not established","","D:\work\bostar-gate0c\audit\reports\17-smoke-media-picker-ui.txt"
"19","2026-06-16T10:40:58","D:\work\bostar-gate0c","node scripts/smoke-regression.mjs http://127.0.0.1:3013","0","NOT_RUN","0","npm ci baseline not established","","D:\work\bostar-gate0c\audit\reports\18-smoke-regression.txt"
"20","2026-06-16T10:40:58","D:\work\bostar-gate0c","npm run build","0","NOT_RUN","0","npm ci baseline not established","","D:\work\bostar-gate0c\audit\reports\19-npm-run-build.txt"
"21","2026-06-16T10:40:58","D:\work\bostar-gate0c","npm run start -- --port 3013","0","NOT_RUN","0","npm ci baseline not established","","D:\work\bostar-gate0c\audit\reports\20-preview-server.txt"
"22","2026-06-16T10:40:58","D:\work\bostar-gate0c","HTTP GET /,/products,/contact,/robots.txt,/sitemap.xml on preview","0","NOT_RUN","0","npm ci baseline not established","","D:\work\bostar-gate0c\audit\reports\21-preview-http-checks.txt"
"23","2026-06-16T10:46:14","D:\work\bostar-gate0c","Project process scan (corrected)","0","PASS","0","","","D:\work\bostar-gate0c\audit\reports\23-project-process-scan-corrected.txt"
"24","2026-06-16T10:44:00","D:\work\bostar-gate0c","npm ci (direct cmd rerun)","0","PASS","187.9","> bostar-geo-website@0.1.0 postinstall > prisma generate Prisma schema loaded from prisma\schema.prisma 鉁?Generated Prisma Client (v6.19.3) to .\node_modules\@prisma\client in 122ms Start by importing your Prisma Client (See: https://pris.l","","D:\work\bostar-gate0c\audit\reports\22-npm-ci-direct-stdout.txt"
"25","2026-06-16T10:46:15","D:\work\bostar-gate0c","npx next --version","0","PASS","1.073","Next.js v15.5.18","","D:\work\bostar-gate0c\audit\reports\24-next-version-stdout.txt"
"26","2026-06-16T10:46:16","D:\work\bostar-gate0c","npx tsc --version","0","PASS","1.05","Version 5.9.3","","D:\work\bostar-gate0c\audit\reports\25-tsc-version-stdout.txt"
"27","2026-06-16T10:46:17","D:\work\bostar-gate0c","npx prisma --version","0","PASS","2.386","Prisma schema loaded from prisma\schema.prisma prisma : 6.19.3 @prisma/client : 6.19.3 Computed binaryTarget : windows Operating System : win32 Architecture : x64 Node.js : v26.2.0 TypeScript : 5.9.3 Query Engine (Node-API) : libquery-engin","","D:\work\bostar-gate0c\audit\reports\26-prisma-version-stdout.txt"
"28","2026-06-16T10:46:19","D:\work\bostar-gate0c","npm run lint","0","MISSING_CONFIGURATION","1.528","next lint started interactive ESLint setup instead of executing repository lint checks.","","D:\work\bostar-gate0c\audit\reports\27-npm-run-lint-stdout.txt"
"29","2026-06-16T10:46:21","D:\work\bostar-gate0c","npx tsc --noEmit","0","PASS","4.396","","","D:\work\bostar-gate0c\audit\reports\28-tsc-noemit-stdout.txt"
"30","2026-06-16T10:46:25","D:\work\bostar-gate0c","node scripts/smoke-admin-local.mjs 3013","0","BLOCKED","0","Blocked by Gate 0C no-write boundary","","D:\work\bostar-gate0c\audit\reports\29-smoke-admin-local.txt"
"31","2026-06-16T10:46:25","D:\work\bostar-gate0c","node scripts/smoke-cover-render.mjs","0","BLOCKED","0","Blocked by Gate 0C no-write boundary","","D:\work\bostar-gate0c\audit\reports\30-smoke-cover-render.txt"
"32","2026-06-16T10:46:25","D:\work\bostar-gate0c","node scripts/smoke-media-picker-ui.mjs","0","BLOCKED","0","Blocked by Gate 0C no-write boundary","","D:\work\bostar-gate0c\audit\reports\31-smoke-media-picker-ui.txt"
"33","2026-06-16T10:46:25","D:\work\bostar-gate0c","node scripts/smoke-regression.mjs http://127.0.0.1:3013","0","BLOCKED","0","Blocked by Gate 0C no-write boundary","","D:\work\bostar-gate0c\audit\reports\32-smoke-regression.txt"
"34","2026-06-16T10:46:25","D:\work\bostar-gate0c","npm run build","0","PASS","29.531","> bostar-geo-website@0.1.0 build > next build 鈻?Next.js 15.5.18 Creating an optimized production build ... 鉁?Compiled successfully in 9.5s Linting and checking validity of types ... Collecting page data ... Generating static pages (0/38) ..","","D:\work\bostar-gate0c\audit\reports\33-npm-run-build-stdout.txt"
"35","2026-06-16T10:46:55","D:\work\bostar-gate0c","npm run start -- --port 3013","0","PASS","8.479","Preview server started for HTTP checks","","D:\work\bostar-gate0c\audit\reports\34-preview-server.out.log"
"36","2026-06-16T10:47:03","D:\work\bostar-gate0c","HTTP GET /,/products,/contact,/robots.txt,/sitemap.xml on preview","0","PASS","0","/=200; /products=200; /contact=200; /robots.txt=200; /sitemap.xml=200","","D:\work\bostar-gate0c\audit\reports\35-preview-http-checks.txt"
