"template_id","page_type","current_routes","target_routes","data_source","required_fields","optional_fields","SEO type","Schema type","reusable_sections","CTA","language_support","verification_requirements","implementation_priority"
"TPL-001","home","/","/ | /en","BrandSetting|ProductCategory|Solution|Article|Download","defaultSeoTitle|defaultSeoDesc|hero|featured-products|featured-solutions|contact CTA","featured-downloads|featured-articles|trust badges","Home","Organization|WebSite|BreadcrumbList","hero|featured-products|industry-scenarios|technology-highlights|downloads|contact","Get quotation|Contact engineer","zh-CN|en","Brand claims and hero metrics require business verification","P0"
"TPL-002","product-overview","/products","/products | /en/products","ProductCategory|BrandSetting","category cards|intro copy|contact CTA","industry filters|download shortcuts","Collection","BreadcrumbList|CollectionPage","hero|category-grid|industry-links|downloads CTA","Browse categories|Request recommendation","zh-CN|en","Category ordering and naming","P0"
"TPL-003","product-category","/products/[categorySlug]","/products/[categorySlug] | /en/products/[categorySlug]","ProductCategory|Product","category title|summary|product cards","comparison table|downloads","Category","BreadcrumbList|CollectionPage","intro|product-list|application-scenarios|downloads CTA|faq","View product|Request solution","zh-CN|en","Category description and grouping","P0"
"TPL-004","product-detail","/products/[categorySlug]/[productSlug]","/products/[categorySlug]/[productSlug] | /en/products/[categorySlug]/[productSlug]","Product|FAQ|Download|Video|Solution","name|model|summary|specs|mainImage|contact CTA","gallery|downloads|videos|cases","Product","Product|BreadcrumbList|FAQPage|HowTo","hero|specs|applications|working-principle|downloads|faq|lead-form","Request quote|Download file","zh-CN|en","All product parameters and benefits","P0"
"TPL-005","solution-overview","/solutions","/solutions | /en/solutions","Solution","solution groups|pain-point navigation","industry-entry cards","Collection","BreadcrumbList|CollectionPage","hero|solution-grid|industry-links|contact CTA","Explore solution","zh-CN|en","Solution grouping","P1"
"TPL-006","solution-detail","/solutions/[slug]","/solutions/[slug] | /en/solutions/[slug]","Solution|Product","title|painPoints|recommendedPlan|equipmentList|cta","processFlow|downloads|cases","Solution","Article|BreadcrumbList","hero|pain-points|recommended-plan|equipment|process|cta","Talk to engineer","zh-CN|en","Claims and recommended plan","P0"
"TPL-007","industry-detail","/cases/[slug]","/industries/[slug] | /en/industries/[slug]","Case|Solution|Product","industry context|workpiece|process|recommended products","case evidence|downloads","Industry","BreadcrumbList|Article","industry-overview|scenario|recommended-products|case-proof|contact","Discuss production line","zh-CN|en","Customer anonymity and results","P1"
"TPL-008","core-technology-detail","/service | /videos/[slug] | /knowledge/process-knowledge/*","/technology/[slug] | /en/technology/[slug]","Article|Video|BrandSetting","technology concept|process explanation|related products","video|downloads|faq","Article","Article|BreadcrumbList","definition|how-it-works|applicability|related-products","Ask for process advice","zh-CN|en","Technical definitions","P1"
"TPL-009","knowledge-list","/knowledge | /knowledge/[categorySlug]","/knowledge | /knowledge/[categorySlug] | /en/knowledge | /en/knowledge/[categorySlug]","ArticleCategory|Article","category title|article cards","featured faq|download CTA","BlogIndex","BreadcrumbList|CollectionPage","hero|filters|article-list|cta","Read article","zh-CN|en","Category labeling","P1"
"TPL-010","knowledge-article","/knowledge/[categorySlug]/[slug]","/knowledge/[categorySlug]/[slug] | /en/knowledge/[categorySlug]/[slug]","Article|FAQ|Product","title|excerpt|content|author-role|publishedAt|updatedAt|source","reviewer|faq|related products","Article","Article|BreadcrumbList|FAQPage","hero|summary|body|faq|related-products|contact","Ask technical question","zh-CN|en","Source citation fields mandatory","P0"
"TPL-011","news","/news | /news/[slug]","/news | /en/news","Article","title|content|publishedAt","cover image","NewsArticle","Article|BreadcrumbList","listing or article body","Contact sales","zh-CN|en","News source and freshness","P2"
"TPL-012","faq","/faq","/faq | /en/faq","FAQ","question|answer|category","related products","FAQ","FAQPage|BreadcrumbList","intro|accordion|contact","Still need help","zh-CN|en","Answer accuracy","P1"
"TPL-013","video","/videos | /videos/[slug]","/videos | /videos/[slug] | /en/videos | /en/videos/[slug]","Video|Product","title|videoUrl|summary","transcript|steps|related products","Video","VideoObject|BreadcrumbList","player|summary|steps|related-products","Contact engineer","zh-CN|en","Transcript and step accuracy","P2"
"TPL-014","download","/downloads | /downloads/[slug]","/downloads | /downloads/[slug] | /en/downloads | /en/downloads/[slug]","Download|Product","title|summary|fileType|fileUrl|lead gating flag","version|related products","Download","CreativeWork|BreadcrumbList","listing|detail|lead-form","Download|Request manual","zh-CN|en","File currency and gating","P0"
"TPL-015","service","/service","/service | /en/service","BrandSetting|Article","service overview|support channels|response flow","faq|downloads","Service","BreadcrumbList|Article","support-scope|service-flow|faq|contact","Submit service request","zh-CN|en","Support commitment","P1"
"TPL-016","case","/cases","/industries | /cases | /en/industries","Case","industry summary|case list","result metrics","CaseIndex","CollectionPage|BreadcrumbList","industry-grid|case-list|cta","See matching line","zh-CN|en","Case anonymity","P2"
"TPL-017","about","/about","/about | /en/about","BrandSetting","company profile|capabilities|contact","timeline|factory proof","About","Organization|BreadcrumbList","intro|capabilities|factory|contact","Contact BOSTAR","zh-CN|en","Corporate facts","P1"
"TPL-018","contact","/contact","/contact | /en/contact","BrandSetting|LeadForm","form fields|contact info|privacy note","map|service hours","Contact","LocalBusiness|BreadcrumbList","contact-cards|form|service promise","Submit inquiry","zh-CN|en","PII handling and endpoint","P0"
"TPL-019","search-results","/search","/search | /en/search","Search API","query state|results list|no-result state","facet filters","SearchNoIndex","WebSite","search-input|results|suggested links","Open matching page","zh-CN|en","Noindex policy","P2"
"TPL-020","404","/_not-found","/404","static","clear error message|recommended links","search box","NoIndex","None","message|recommended links","Back to relevant hub","zh-CN|en","None","P1"
"TPL-021","admin-page","/admin/**","/admin/**","Prisma admin models","auth guard|list/edit forms","media picker","NoIndex","None","table|editor","Save changes","zh-CN only","Internal only","P0"
