"page_type","schema_type","conditions","source","notes"
"home","Organization|WebSite|BreadcrumbList","Visible company identity, site search target, top-level breadcrumb only","BrandSetting","Do not invent certifications or metrics."
"product-detail","Product|BreadcrumbList|FAQPage|HowTo","Visible product definition, specs, downloadable or FAQ evidence present","Product|FAQ","No Product schema on category pages."
"product-category","BreadcrumbList|CollectionPage","Multiple products listed","ProductCategory|Product","Never emit single Product schema here."
"knowledge-article","Article|BreadcrumbList|FAQPage","Author/reviewer role and source fields available","Article|FAQ","FAQ only when visible on page."
"solution-detail","Article|BreadcrumbList","Descriptive solution narrative visible","Solution","No fabricated performance claims."
"contact","LocalBusiness|BreadcrumbList","Visible contact details and inquiry entry point","BrandSetting","No hidden organization subtypes."
"video-detail","VideoObject|BreadcrumbList","Visible player, title and summary","Video","Transcript optional but preferred."
"faq","FAQPage|BreadcrumbList","Visible FAQ entries","FAQ","Do not duplicate with hidden data."
"download-detail","CreativeWork|BreadcrumbList","Visible downloadable asset metadata","Download","No Product schema unless product is the page subject."
"about","Organization|BreadcrumbList","Visible company profile","BrandSetting","Corporate facts must be verified."
